Survey Month,Choice 1,Choice 2,Choice 3,Region,Gender,Age,Weight
2010 Mar 01 12:00:00 AM,Public Transit/ Bike lanes,Infrastructure/ Roads/ Potholes,,Core,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Education,,Northwest,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,Aboriginal Issues,Poverty/ Homelessness,Taxes/ Tax reform,Core,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,Crime/ Violence/ Vandalism,,Northwest,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,Childcare/ Daycare issues,,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Core,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Flooding,,,Northwest,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,,,Core,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Economy (general),Crime/ Violence/ Vandalism,Environmental Issues,Northwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northwest,Female,,0.808635
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Health care/ Medicare,Crime/ Violence/ Vandalism,,Northwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,Crime/ Violence/ Vandalism,,Northwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Jobs/ Unemployment,Education,Northwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Economic growth/ Business development,,,Northwest,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Recreation/ Leisure/ Entertainment,Education,Health care/ Medicare,Northwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Economy (general),,,Northwest,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Health care/ Medicare,,,Northwest,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Recreation/ Leisure/ Entertainment,Crime/ Violence/ Vandalism,Morality issues: Pornography/ Drugs/ Prostitution,Northwest,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,Crime/ Violence/ Vandalism,,Northwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Aboriginal Issues,,,Northwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Morality issues: Pornography/ Drugs/ Prostitution,,,Northwest,Female,18 - 34,2.252458173
2010 Mar 01 12:00:00 AM,Morality issues: Pornography/ Drugs/ Prostitution,,,Northwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Social services/ Public services,,,Northwest,Female,,0.808635
2010 Mar 01 12:00:00 AM,Health care/ Medicare,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,Northwest,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,,,Northwest,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Health care/ Medicare,Infrastructure/ Roads/ Potholes,Crime/ Violence/ Vandalism,Northwest,Male,,1.347936364
2010 Mar 01 12:00:00 AM,Health care/ Medicare,,,Northwest,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Health care/ Medicare,"Government Issues i.e, corruption, federal election",,Northwest,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Health care/ Medicare,,Core,Female,,0.808635
2010 Mar 01 12:00:00 AM,Economy (general),Environmental Issues,Crime/ Violence/ Vandalism,Northwest,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northwest,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Morality issues: Pornography/ Drugs/ Prostitution,,Northwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,Civic Politics,,Southwest,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Health care/ Medicare,,Northwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Health care/ Medicare,,Northwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Economy (general),Environmental Issues,,Northwest,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Economic growth/ Business development,,,Northwest,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Health care/ Medicare,,,Northwest,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Health care/ Medicare,,Southwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Civic Politics,,Northwest,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Health care/ Medicare,,Core,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Cost of Living,,,Northwest,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Environmental Issues,,,Northwest,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Core,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,Low cost housing/ Lower rental costs,,Northwest,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Municipal Taxes,,,Core,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Health care/ Medicare,,,Northwest,Male,,1.347936364
2010 Mar 01 12:00:00 AM,Childcare/ Daycare issues,Low cost housing/ Lower rental costs,,Northwest,Female,18 - 34,2.252458173
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Female,,0.808635
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,,,Northwest,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Social services/ Public services,Childcare/ Daycare issues,,Northwest,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Racism/ Cultural/ Inequality issues,,,Northwest,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Education,,,Northwest,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Childcare/ Daycare issues,,Northwest,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Taxes/ Tax reform,Poverty/ Homelessness,,Northeast,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Cost of Living,,,Southeast,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,"Government Issues i.e, corruption, federal election",,Southeast,Female,,0.808635
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Taxes/ Tax reform,,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Childcare/ Daycare issues,,,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southwest,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Economy (general),Jobs/ Unemployment,"Government Issues i.e, corruption, federal election",Southeast,Male,,1.347936364
2010 Mar 01 12:00:00 AM,Economy (general),,,Southeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Jobs/ Unemployment,Health care/ Medicare,,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,"Emergency services: Fire, Police",Health care/ Medicare,,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Health care/ Medicare,Crime/ Violence/ Vandalism,,Southeast,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Taxes/ Tax reform,Education,,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Economy (general),Environmental Issues,Crime/ Violence/ Vandalism,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Southeast,Female,,0.808635
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Female,,0.808635
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Female,18 - 34,2.252458173
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Health care/ Medicare,Education,,Southwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,"Government Issues i.e, corruption, federal election",,,Southeast,Female,18 - 34,2.252458173
2010 Mar 01 12:00:00 AM,Poverty/ Homelessness,Racism/ Cultural/ Inequality issues,,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Health care/ Medicare,"Government Issues i.e, corruption, federal election",Southeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Southeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Economy (general),Crime/ Violence/ Vandalism,,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Integrating new immigrants into Canadian society,,,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Education,Municipal Taxes,,Southeast,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Morality issues: Pornography/ Drugs/ Prostitution,,,Southwest,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Education,Health care/ Medicare,Economy (general),Southeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Aboriginal Issues,,,Southeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Economy (general),"Emergency services: Fire, Police",,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Environmental Issues,Health care/ Medicare,Education,Southeast,Female,18 - 34,2.252458173
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Morality issues: Pornography/ Drugs/ Prostitution,,Core,Female,18 - 34,2.252458173
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Health care/ Medicare,,,Southeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Male,18 - 34,1.7167627
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Poverty/ Homelessness,,Southeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Taxes/ Tax reform,,,Southeast,Male,,1.347936364
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Poverty/ Homelessness,,Southeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Health care/ Medicare,Poverty/ Homelessness,,Southeast,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Economic growth/ Business development,,,Southeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Male,,1.347936364
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Economy (general),,Southeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Economy (general),,,Southeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Environmental Issues,,,Southeast,Female,18 - 34,2.252458173
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Environmental Issues,,,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Social services/ Public services,"Emergency services: Fire, Police",,Southeast,Male,55 +,0.582650644
2010 Mar 01 12:00:00 AM,Health care/ Medicare,Aboriginal Issues,Taxes/ Tax reform,Southeast,Male,35 - 54,0.980782913
2010 Mar 01 12:00:00 AM,Education,Public Transit/ Bike lanes,Health care/ Medicare,Southeast,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Senior issues,Crime/ Violence/ Vandalism,,Southeast,Female,55 +,0.701356427
2010 Mar 01 12:00:00 AM,Education,Health care/ Medicare,Crime/ Violence/ Vandalism,Southeast,Female,35 - 54,1.083145964
2010 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Male,55 +,0.582650644
